frame,player_id,team,x,y,speed_kmh,distance_m,total_distance_m
27,19,Team_1,379,367,4.82,0.04,0.29
28,1,Team_2,1024,357,8.62,0.08,1.42
28,2,Team_1,649,360,2.15,0.02,0.2
28,3,Team_1,1001,355,8.62,0.08,1.49
28,5,Team_1,922,551,9.14,0.08,1.3
28,6,Team_2,976,536,7.77,0.07,1.4
28,7,Team_2,356,369,4.31,0.04,1.04
28,8,Team_2,781,383,3.05,0.03,0.62
28,9,Team_1,613,411,0.0,0.0,0.3
28,10,Team_1,402,295,4.82,0.04,0.93
28,11,Team_2,452,289,6.09,0.06,0.78
28,12,Umpire,714,394,0.0,0.0,0.35
28,13,Team_2,807,404,4.82,0.04,0.64
28,14,Umpire,1124,282,10.77,0.1,1.83
28,16,Umpire,1180,251,10.99,0.1,1.73
28,19,Team_1,376,367,6.46,0.06,0.35
29,1,Team_2,1029,357,10.77,0.1,1.52
29,2,Team_1,649,360,0.0,0.0,0.2
29,3,Team_1,1006,355,10.77,0.1,1.59
29,5,Team_1,925,553,7.77,0.07,1.37
29,6,Team_2,979,539,9.14,0.08,1.48
29,7,Team_2,353,367,7.77,0.07,1.11
29,8,Team_2,782,383,2.15,0.02,0.64
29,9,Team_1,613,412,2.15,0.02,0.32
29,10,Team_1,400,294,4.82,0.04,0.97
29,11,Team_2,451,290,3.05,0.03,0.8
29,12,Umpire,714,394,0.0,0.0,0.35
29,13,Team_2,809,404,4.31,0.04,0.68
29,14,Umpire,1128,280,9.64,0.09,1.92
29,16,Umpire,1185,251,10.77,0.1,1.83
29,19,Team_1,374,367,4.31,0.04,0.39
30,1,Team_2,1034,357,10.77,0.1,1.62
30,2,Team_1,649,360,0.0,0.0,0.2
30,3,Team_1,1010,356,8.88,0.08,1.67
30,5,Team_1,928,555,7.77,0.07,1.44
30,6,Team_2,982,541,7.77,0.07,1.55
30,8,Team_2,783,383,2.15,0.02,0.66
30,9,Team_1,614,412,2.15,0.02,0.34
30,10,Team_1,398,293,4.82,0.04,1.01
30,11,Team_2,449,290,4.31,0.04,0.84
30,12,Umpire,715,395,3.05,0.03,0.38
30,13,Team_2,811,405,4.82,0.04,0.73
30,14,Umpire,1133,280,10.77,0.1,2.02
30,16,Umpire,1191,249,13.63,0.13,1.96
30,19,Team_1,371,368,6.81,0.06,0.45
31,1,Team_2,1039,357,10.77,0.1,1.72
31,2,Team_1,649,359,2.15,0.02,0.22
31,3,Team_1,1014,356,8.62,0.08,1.75
31,5,Team_1,930,557,6.09,0.06,1.5
31,6,Team_2,985,541,6.46,0.06,1.61
31,8,Team_2,784,384,3.05,0.03,0.69
31,9,Team_1,614,413,2.15,0.02,0.36
31,10,Team_1,395,292,6.81,0.06,1.08
